Hugo_Symbol	Chromosome
PIRC39	9
PIRC40	9
PIRC41	9
PIRC42	9
PIRC43	9
PIRC44	9
PIRC45	9
PIRC46	9
PIRC47	9
PIRC48	10
PIRC49	10
PIRC50	11
PIRC51	11
PIRC52	11
PIRC53	12
PIRC54	12
PIRC55	12
PIRC56	12
PIRC57	12
PIRC58	13
PIRC59	14
PIRC60	14
PIRC61	15
PIRC62	15
PIRC63	15
PIRC64	15
PIRC65	15
PIRC66	15
PIRC67	15
PIRC68	15
PIRC69	15
PIRC70	15
PIRC71	15
PIRC72	15
PIRC73	15
PIRC74	15
PIRC75	15
PIRC76	15
PIRC77	15
PIRC78	15
PIRC79	15
PIRC80	15
PIRC81	15
PIRC82	16
PIRC83	16
PIRC84	16
PIRC85	16
PIRC86	16
PIRC87	16
PIRC88	16
PIRC89	16
PIRC90	17
PIRC91	17
PIRC92	17
PIRC93	17
PIRC94	17
PIRC95	17
PIRC96	18
PIRC97	19
PIRC98	19
PIRC99	19
PIRC100	19
PIRC101	19
PIRC102	19
PIRC103	20
PIRC104	20
PIRC105	21
PIRC106	22
PIRC107	22
PIRC108	22
PIRC109	22
PIRC110	22
PIRC111	22
PIRC112	22
PIRC113	X
PIRC114	X
PIRT	17p12
PISD	22q12.2
PISRT1	3q23
PIT1	
PITHD1	1p36.11
PITPNA	17p13.3
PITPNA-AS1	17p13.3
PITPNB	22q12.1
PITPNC1	17q24.2
PITPNM1	11q13.2
PITPNM2	12q24.31
PITPNM2-AS1	12q24.31
PITPNM3	17p13.2-p13.1
PITRM1	10p15.2
PITRM1-AS1	10p15.2
PITX1	5q31.1
PITX2	4q25
PITX3	10q24.32
PIWIL1	12q24.33
PIWIL2	8p21.3
PIWIL3	22q11.23
PIWIL4	11q21
PJA1	Xq13.1
PJA2	5q21.3
PJVK	2q31.2
PKD1	16p13.3
PKD1L1	7p12.3
PKD1L2	16q23.2
PKD1L3	16q22.2
PKD1P1	16p13.11
PKD1P2	16p13.11
PKD1P3	16p13.11
PKD1P4	16p12.3
PKD1P5	16p12.3
PKD1P6	16p13.11
PKD2	4q22.1
PKD2L	
PKD2L1	10q24.31
PKD2L2	5q31.2
PKD3	2p
PKDCC	2p21
PKDL	
PKDREJ	22q13.31
PKHD1	6p12.3-p12.2
PKHD1L1	8q23.1-q23.2
PKIA	8q21.13
PKIA-AS1	8q21.13
PKIB	6q22.31
PKIG	20q13.12
PKLR	1q22
PKM	15q23
PKMP1	1p13.2
PKMP2	Xq12
PKMP3	6q14.3
PKMP4	8q21.11
PKMP5	6p25.1
PKMYT1	16p13.3
PKN1	19p13.12
PKN2	1p22.2
PKN2-AS1	1p22.2
PKN3	9q34.11
PKNOX1	21q22.3
PKNOX2	11q24.2
PKNOX2-AS1	11q24.2
PKP1	1q32.1
PKP2	12p11.21
PKP2P1	12p13
PKP3	11p15.5
PKP4	2q24.1
PKP4-AS1	2q24.1
PKP4P1	2q34
PLA1A	3q13.33
PLA2A	
PLA2B	
PLA2G1B	12q24.31
PLA2G2A	1p36.13
PLA2G2C	1p36.12
PLA2G2D	1p36.12
PLA2G2E	1p36.13
PLA2G2F	1p36.12
PLA2G3	22q12.2
PLA2G4	
PLA2G4A	1q31.1
PLA2G4B	15q15.1
PLA2G4C	19q13.33
PLA2G4C-AS1	19q13.33
PLA2G4D	15q15.1
PLA2G4E	15q15.1
PLA2G4E-AS1	15q15.1
PLA2G4F	15q15.1
PLA2G5	1p36.13
PLA2G6	22q13.1
PLA2G7	6p12.3
PLA2G10	16p13.12
PLA2G12A	4q25
PLA2G12AP1	1p32.3
PLA2G12AP2	13q13.3
PLA2G12B	10q22.1
PLA2G15	16q22.1
PLA2L	
PLA2R1	2q23-q24
PLAA	9p21.2
PLAAT1	3q29
PLAAT2	11q12.3
PLAAT3	11q12.3-q13.1
PLAAT4	11q12.3
PLAAT5	11q12.3
PLAC1	Xq26.3
PLAC4	21q22.2
PLAC5	6p24.1
PLAC8	4q21.22
PLAC8L1	5q32
PLAC9	10q22.3
PLAC9P1	2q21.1
PLAG1	8q12.1
PLAGL1	6q24.2
PLAGL2	20q11.21
PLANH1	
PLANH2	
PLANH3	
PLAT	8p11.21
PLAU	10q22.2
PLAUR	19q13
PLB1	2p23.2
PLBD1	12p13.1
PLBD1-AS1	12p13.1-p12.3
PLBD2	12q24.13
PLC1	
PLCB1	20p12.3
PLCB1-IT1	20p12.3
PLCB2	15q15.1
PLCB2-AS1	15q15.1
PLCB3	11q13.1
PLCB4	20p12.3-p12.2
PLCD1	3p22.2
PLCD3	17q21.31
PLCD4	2q35
PLCE1	10q23.33
PLCE1-AS1	10q23.33
PLCE1-AS2	10q23.33
PLCE1P1	Xp21.2
PLCG1	20q12
PLCG1-AS1	20q12
PLCG2	16q24.1
PLCH1	3q25.31
PLCH1-AS1	3q25.31
PLCH1-AS2	3q25.31
PLCH2	1p36.32
PLCL1	2q33.1
PLCL2	3p24.3
PLCL2-AS1	3p24.3
PLCXD1	Xp22.33 and Yp11.32
PLCXD2	3q13.2
PLCXD2-AS1	3q13.2
PLCXD3	5p13.1
PLCZ1	12p12.3
PLD1	3q26.31
PLD2	17p13.2
PLD3	19q13.2
PLD4	14q32.33
PLD5	1q43
PLD5P1	10p11.1
PLD6	17p11.2
PLEC	8q24.3
PLEK	2p14
PLEK2	14q23.3-q24.1
PLEKHA1	10q26.13
PLEKHA2	8p11.22
PLEKHA3	2q31.2
PLEKHA3P1	19q13.2
PLEKHA4	19q13.33
PLEKHA5	12p12.3
PLEKHA6	1q32.1
PLEKHA7	11p15
PLEKHA8	7p14.3
PLEKHA8P1	12q12
PLEKHB1	11q13.4
PLEKHB2	2q21.1
PLEKHD1	14q24.1
PLEKHF1	19q12
PLEKHF2	8q22.1
PLEKHG1	6q25.1
PLEKHG2	19q13.2
PLEKHG3	14q23.3
PLEKHG4	16q22.1
PLEKHG4B	5p15.33
PLEKHG5	1p36.31
PLEKHG6	12p13.31
PLEKHG7	12q22
PLEKHH1	14q24.1
PLEKHH2	2p21
PLEKHH3	17q21.2
PLEKHJ1	19p13.3
PLEKHM1	17q21.31
PLEKHM1P1	17q24.1
PLEKHM2	1p36.21
PLEKHM3	2q33.3
PLEKHN1	1p36.33
PLEKHO1	1q21.2
PLEKHO2	15q22.31
PLEKHS1	10q25.3
PLET1	11q23.1
PLG	6q26
PLGLA	2q12.2
PLGLB1	2p11.2
PLGLB2	2p11.2
PLGRKT	9p24.1
PLI	
PLIN1	15q26.1
PLIN2	9p22.1
PLIN3	19p13.3
PLIN4	19p13.3
PLIN5	19p13.3
PLK1	16p12.2
PLK2	5q11.2
PLK3	1p34.1
PLK4	4q28.1
PLK5	19p13.3
PLLP	16q13
PLLPP1	Xp11.3
PLM	
PLML	
PLN	6q22.31
PLOD1	1p36.22
PLOD2	3q24
PLOD3	7q22.1
PLOSL	19q13.1
PLP	
PLP1	Xq22.2
PLP2	Xp11.23
PLPB1	
PLPBP	8p11.23
PLPP1	5q11.2
PLPP2	19p13.3
PLPP3	1p32.2
PLPP4	10q26.12
PLPP5	8p11.23
PLPP6	9p24.1
PLPP7	9q34.13
PLPPR1	9q31.1
PLPPR2	19p13.2
PLPPR3	19p13.3
PLPPR4	1p21.3-p21.2
PLPPR5	1p21.3
PLRG1	4q31.3
PLS1	3q23
PLS1-AS1	3q23
PLS3	Xq23
PLS3-AS1	Xq23
PLSCR1	3q24
PLSCR2	3q24
PLSCR3	17p13.1
PLSCR4	3q24
PLSCR5	3q24
PLSCR5-AS1	3q24
PLTP	20q13.12
PLUT	13q12.2
PLVAP	19p13.11
PLXDC1	17q12
PLXDC2	10p12.31
PLXN1	
PLXN2	
PLXN4	
PLXN5	
PLXN6	
PLXNA1	3q21.3
PLXNA2	1q32.2
PLXNA3	Xq28
PLXNA4	7q32.3
PLXNA4B	7q32.3
PLXNB1	3p21.31
PLXNB2	22q13.33
PLXNB3	Xq28
PLXNC1	12q22
PLXND1	3q22.1
PM20D1	1q32.1
PM20D2	6q15
PMAIP1	18q21.32
PMCH	12q23.2
PMCHL1	5p14.3
PMCHL2	5q13.2
PMEL	12q13.2
PMEPA1	20q13.31
PMF1	1q22
PMF1-BGLAP	1q22
PMFBP1	16q22.2
PMIS2	19q13.12
PML	15q24.1
PMM1	22q13.2
PMM2	16p13.2
PMM2P1	18p11.22
PMM2P2	18p11.21
PMP2	8q21.13
PMP22	17p12
PMPCA	9q34.3
PMPCAP1	4q22.1
PMPCB	7q22.1
PMPS	mitochondria
PMS1	2q32.2
PMS2	7p22.1
PMS2CL	7p22.1
PMS2L6	7q11-q22
PMS2L7	7q11.22
PMS2L8	7q22
PMS2L9	7q11-q22
PMS2LP2	7q
PMS2P1	7q22.1
PMS2P2	7q11.23
PMS2P3	7q11.23
PMS2P4	7q11.21
PMS2P5	7q11.23
PMS2P6	7q11.23
PMS2P7	7q11.23
PMS2P8	7q11.23
PMS2P9	7q11.23
PMS2P10	7q11.23
PMS2P11	7q11.23
PMS2P12	7q22.1
PMSL1	
PMSL2	
PMVK	1q21.3
PNCK	Xq28
PND	
PNI1	
PNI2	
PNIA1	
PNIA2	
PNIA3	
PNIA4	
PNIA5	
PNIA6	
PNISR	6q16.2
PNKD	2q35
PNKDP1	Xq26.2
PNKP	19q13.33
PNLDC1	6q25.3
PNLIP	10q25.3
PNLIPP1	10q25.3
PNLIPRP1	10q25.3
PNLIPRP2	10q25.3
PNLIPRP3	10q25.3
PNMA1	14q24.3
PNMA2	8p21.2
PNMA3	Xq28
PNMA5	Xq28
PNMA6A	Xq28
PNMA6B	Xq28
PNMA6C	Xq28
PNMA6D	Xq28
PNMA6E	Xq28
PNMA6F	Xq28
PNMA8A	19q13.32
PNMA8B	19q13.32
PNMA8C	19q13.32
PNMT	17q12
PNMTP1	reserved
PNN	14q21.1
PNO1	2p14
PNOC	8p21.1
PNP	14q11.2
PNPLA1	6p21.31
PNPLA2	11p15.5
PNPLA3	22q13.31
PNPLA4	Xp22.31
PNPLA4P1	Yq11.221
PNPLA5	22q13.31
PNPLA6	19p13.2
PNPLA7	9q34.3
PNPLA8	7q31.1
PNPLA10P	Xq25
PNPO	17q21.32
PNPP1	2p12
PNPT1	2p16.1
PNPT1P1	3p26.2
PNPT1P2	7q31.32
PNRC1	6q15
PNRC2	1p36.11
PNRC2P1	1p12
PNY1	
PNY2	
PNY3	
PNY4	
PNY5	
POC1A	3p21.2
POC1B	12q21.33
POC1B-AS1	12q21.33
POC1B-GALNT4	12q21.33
POC5	5q13.3
PODN	1p32.3
PODNL1	19p13.12
PODXL	7q32.3
PODXL2	3q21.3
POF1	Xq21.3-q27
POF1B	Xq21.1
POFUT1	20q11.21
POFUT2	21q22.3
POGK	1q24.1
POGLUT1	3q13.33
POGLUT2	13q33.1
POGLUT3	11q22.3
POGZ	1q21.3
POLA1	Xp22.11-p21.3
POLA2	11q13.1
POLB	8p11.21
POLD1	19q13.3
POLD2	7p13
POLD2P1	5q15
POLD3	11q13.4
POLD4	11q13.2
POLDIP2	17q11.2
POLDIP3	22q13.2
POLE	12q24.33
POLE2	14q21.3
POLE3	9q32
POLE4	2p12
POLG	15q26.1
POLG2	17q23.3
POLH	6p21.1
POLH-AS1	6p21.1
POLHP1	2q35
POLI	18q21.2
POLK	5q13.3
POLL	10q24.32
POLM	7p13
POLN	4p16.3
POLQ	3q13.33
POLR1A	2p11.2
POLR1B	2q14.1
POLR1C	6p21.1
POLR1D	13q12.2
POLR1E	9p13.2
POLR1F	7p21.1
POLR1G	19q13.32
POLR1H	6p22.1
POLR2A	17p13.1
POLR2B	4q12
POLR2C	16q21
POLR2CP1	21q11.2
POLR2D	2q14.3
POLR2DP1	2q14.1
POLR2DP2	7q31.2
POLR2E	19p13.3
POLR2F	22q13.1
POLR2G	11q12.3
POLR2H	3q27.1
POLR2I	19q13.12
POLR2J	7q22.1
POLR2J2	7q22.1
POLR2J3	7q22.1
POLR2J4	7p13
POLR2K	8q22.2
POLR2KP1	12q13.12
POLR2KP2	13q14.2
POLR2L	11p15.5
POLR2LP1	6p21.33
POLR2M	15q21.3
POLR3A	10q22.3
POLR3B	12q23.3
POLR3C	1q21.1
POLR3D	8p21.3
POLR3DP1	10q22.2
POLR3E	16p12.2
POLR3F	20p11.23
POLR3G	5q14.3
POLR3GL	1q21.1
POLR3GP1	14q32.12
POLR3GP2	18q21.1
POLR3H	22q13.2
POLR3K	16p13.3
POLR3KP1	13q21.2
POLR3KP2	17q25.1
POLRMT	19p13.3
POLRMTP1	17q23.2
POM121	7q11.23
POM121B	7q11.23
POM121C	7q11.23
POM121L1P	22q11.22
POM121L2	6p22.1
POM121L3P	20p11.21
POM121L4P	22q11.2
POM121L6P	6p22.2
POM121L7P	22q11.21
POM121L8P	22q11.21
POM121L9P	22q11.23
POM121L10P	22q11.23
POM121L11P	22q11.23
POM121L12	7p12.1
POM121L13P	13q12.3
POM121L14P	6p11.2
POMC	2p23.3
POMGNT1	1p34.1
POMGNT2	3p22.1
POMK	8p11.21
POMP	13q12.3
POMPP1	Xq21.1
POMT1	9q34.13
POMT2	14q24.3
POMZP3	7q11.23
PON1	7q21.3
PON2	7q21.3
PON3	7q21.3
POP1	8q22.2
POP2	
POP4	19q12
POP5	12q24.31
POP7	7q22.1
POPDC2	3q13.33
POPDC3	6q21
POR	7q11.23
PORC	11q23.1
PORCN	Xp11.23
POSTN	13q13.3
POT1	7q31.33
POT1-AS1	7q31.33
POTEA	8p11.1
POTEB	15q11.2
POTEB2	15q11.2
POTEB3	15q11.2
POTEC	18p11.21
POTED	21q11.2
POTEE	2q21.1
POTEF	2q21.1
POTEF-AS1	2q21.1
POTEG	14q11.2
POTEH	22q11.1
POTEH-AS1	22q11.1
POTEI	2q21.1
POTEJ	2q21.1
POTEKP	2q21.1
POTEM	14q11.2
POU1F1	3p11.2
POU2AF1	11q23.1
POU2F1	1q24.2
POU2F2	19q13.2
POU2F3	11q23.3
POU3F1	1p34.3
POU3F2	6q16.1
POU3F3	2q12.1
POU3F4	Xq21.1
POU4F1	13q31.1
POU4F2	4q31.22
POU4F3	5q32
POU5F1	6p21.33
POU5F1B	8q24.21
POU5F1P2	8q22.3
POU5F1P3	12p13.31
POU5F1P4	1q22
POU5F1P5	10q21.3
POU5F1P6	3q21.3
POU5F1P7	3q11.2
POU5F1P8	17q25.3
POU5F2	5q15
POU6F1	12q13.13
POU6F2	7p14.1
POU6F2-AS1	7p14.1
POU6F2-AS2	7p14.1
PP1P	3p24.3
PP2D1	3p24.3
PPA1	10q22.1
PPA2	4q24
PPAN	19p13.2
PPAN-P2RY11	19p13.2
PPAR	
PPARA	22q13.31
PPARAL	17p12-p11.2
PPARD	6p21.31
PPARG	3p25.2
PPARGC1A	4p15.2
PPARGC1B	5q32
PPAT	4q12
PPATP1	3p12.1
PPATP2	Xq21.1
PPBP	4q13.3
PPBPP1	4q13.3
PPBPP2	4q13.3
PPCD	20p11.2-q11.2
PPCD3	10
PPCDC	15q24.2
PPCS	1p34.2
PPD	
PPDPF	20q13.33
PPDPFL	8q11.21
PPEF1	Xp22.13
PPEF1-AS1	Xp22.13
PPEF2	4q21.1
PPFIA1	11q13.3
PPFIA1P1	2q37.1
PPFIA2	12q21.31
PPFIA2-AS1	12q21.31
PPFIA3	19q13.33
PPFIA4	1q32.1
PPFIBP1	12p11.23-p11.22
PPFIBP2	11p15.4
PPH1	2q31-q32
PPH2	2q31-q32
PPHLN1	12q12
PPIA	7p13
PPIAL2	20q13.2-q13.3
PPIAL4A	1p11.2
PPIAL4B	1q21.1
PPIAL4C	1q21.2
PPIAL4D	1q21.1
PPIAL4E	1q21.1
PPIAL4F	1q21.1
PPIAL4G	1q21.2
PPIAL4H	1q21.1
PPIAP1	21q21.1
PPIAP2	20p11.21
PPIAP3	20q11.23
PPIAP4	14q21.1
PPIAP5	14q23.1
PPIAP6	14q24.1
PPIAP7	1p21.2
PPIAP8	12q23.1
PPIAP9	6p21.33
PPIAP10	20q13.2
PPIAP11	5q14.1
PPIAP12	14q24.1
PPIAP13	10q22.2
PPIAP14	18p11.31
PPIAP15	3q13.13
PPIAP16	3p14.3
PPIAP17	20p12.1
PPIAP18	3p21.32
PPIAP19	10q25.3
PPIAP20	19p13.2
PPIAP21	20q13.11
PPIAP22	21q21.1
PPIAP23	13q31.3
PPIAP24	13q33.3
PPIAP25	13q14.13
PPIAP26	13q14.3
PPIAP27	13q12.11
PPIAP28	13q12.11
PPIAP29	6p22.3
PPIAP30	10p13
PPIAP31	10p11.22
PPIAP32	10q26.3
PPIAP33	9p24.1
PPIAP34	1p36.12
PPIAP35	1p34.1
PPIAP36	1p34.1
PPIAP37	1q23.3
PPIAP38	10q25.1
PPIAP39	10q25.3
PPIAP40	11p15.4
PPIAP41	11p11.2
PPIAP42	11q12.1
PPIAP43	11q22.1
PPIAP44	12p11.21
PPIAP45	12q13.11
PPIAP46	15q24.1
PPIAP47	15q24.2
PPIAP48	16q21
PPIAP49	16q23.1
PPIAP50	16q23.1
PPIAP51	16q23.2
PPIAP52	17p13.1
PPIAP53	17p12
PPIAP54	17q21.2
PPIAP55	17q23.3
PPIAP56	18p11.21
PPIAP57	18q11.2
PPIAP58	19q12
PPIAP59	19q13.41
PPIAP60	2p25.1
PPIAP61	2p24.1
PPIAP62	2p16.3
PPIAP63	2p16.1
PPIAP64	2p14
PPIAP65	2q21.1
PPIAP66	2q31.1
PPIAP67	2q31.1
PPIAP68	2q33.3
PPIAP69	3p21.2
PPIAP70	3p14.2
PPIAP71	3p14.2
PPIAP72	3q22.3
PPIAP73	3q25.1
PPIAP74	3q26.1
PPIAP75	3q26.32
PPIAP76	4q28.1
PPIAP77	5p12
PPIAP78	5q12.3
PPIAP79	5q14.3
PPIAP80	7p15.1
PPIAP81	7q11.23
PPIAP82	7q22.1
PPIAP83	7q35
PPIAP84	8p12
PPIAP85	8q12.1
PPIAP86	8q13.1
PPIAP87	9q21.13
PPIAP88	9q31.2
PPIAP89	Xq22.1
PPIAP90	Xq22.1
PPIAP91	Xq28
PPIAP93	7q31.33
PPIB	15q22.31
PPIC	5q23.2
PPIC-AS1	5q23.2
PPID	4q32.1
PPIE	1p34.2
PPIEL	1p34.3
PPIF	10q22.3
PPIG	2q31.1
PPIGP1	5q33.2
PPIH	1p34.2
PPIHP1	11q23.1
PPIHP2	Xq23
PPIL1	6p21.2
PPIL1P1	2p23.3
PPIL2	22q11.21
PPIL3	2q33.1
PPIL4	6q25.1
PPIL6	6q21
PPIP5K1	15q15.3
PPIP5K1P1	15q15.3
PPIP5K2	5q21.1
PPL	16p13.3
PPLA2	
PPM1A	14q23.1
PPM1AP1	8p22
PPM1B	2p21
PPM1D	17q23.3
PPM1E	17q24.2
PPM1F	22q11.22
PPM1F-AS1	22q11.22
PPM1G	2p23.3
PPM1H	12q14.1-q14.2
PPM1J	1p13.2
PPM1K	4q22.1
PPM1K-DT	4q22.1
PPM1L	3q25.33-q26.1
PPM1M	3p21.2
PPM1N	19q13.32
PPME1	11q13.4
PPOX	1q23.3
PPP1CA	11q13.2
PPP1CB	2p23.2
PPP1CC	12q24.11
PPP1R1A	12q13.2
PPP1R1AP1	11q13.5
PPP1R1AP2	16p11.1
PPP1R1B	17q12
PPP1R1C	2q31.3-q32.1
PPP1R2	3q29
PPP1R2B	5q33.3
PPP1R2C	Xp11.3
PPP1R2P1	6p21.32
PPP1R2P2	21q22.12
PPP1R2P4	13q14.13
PPP1R2P5	2q12.3
PPP1R2P6	7q34
PPP1R2P7	4
PPP1R2P8	5p14.3
PPP1R2P10	13q21.31
PPP1R3	
PPP1R3A	7q31.1
PPP1R3B	8p23.1
PPP1R3C	10q23.32
PPP1R3D	20q13.33
PPP1R3E	14q11.2
PPP1R3F	Xp11.23
PPP1R3G	6p25.1
PPP1R7	2q37.3
PPP1R8	1p35.3
PPP1R8P1	1p33
PPP1R9A	7q21.3
PPP1R9A-AS1	7q21.3
PPP1R9B	17q21.33
PPP1R10	6p21.33
PPP1R10P1	11q24.3
PPP1R11	6p22.1
PPP1R11P1	1p36.12
PPP1R11P2	Xp11.21
PPP1R12A	12q21.2-q21.31
PPP1R12A-AS1	12q21.31
PPP1R12B	1q32.1
PPP1R12BP1	Yq11.23
PPP1R12BP2	Yq11.223
PPP1R12C	19q13.42
PPP1R12CP	2
PPP1R13B	14q32.33
PPP1R13L	19q13.32
PPP1R14A	19q13.1
PPP1R14B	11q13.1
PPP1R14B-AS1	11q13.1
PPP1R14BP1	22q12
PPP1R14BP2	2q33.3
PPP1R14BP3	4q31.1
PPP1R14BP4	7p14.2
PPP1R14BP5	6q22.32
PPP1R14C	6q25.1
PPP1R14D	15q15.1
PPP1R15A	19q13.2
PPP1R15B	1q32.1
PPP1R16A	8q24.3
PPP1R16B	20q11.23
PPP1R17	7p14.3
PPP1R18	6p21.33
PPP1R21	2p16.3
PPP1R26	9q34.3
PPP1R26-AS1	9q34.3
PPP1R26P1	13q14.2
PPP1R26P2	22q11.21
PPP1R26P3	22q11.21
PPP1R26P4	22q11.21
PPP1R26P5	22q11.21
PPP1R27	17q25.3
PPP1R32	11q12.2
PPP1R35	7q22.1
PPP1R35-AS1	7q22.1
PPP1R36	14q23.3
PPP1R37	19q13.32
PPP1R42	8q13.1
PPP2CA	5q31.1
PPP2CB	8p12
PPP2CBP1	16p11.2
PPP2R1A	19q13.41
PPP2R1B	11q23.1
PPP2R2A	8p21.2
PPP2R2B	5q32
PPP2R2B-IT1	5q32
PPP2R2C	4p16.1
PPP2R2D	10q26.3
PPP2R2DP1	3p22.2
PPP2R3A	3q22.2-q22.3
PPP2R3B	Xp22.3 and Yp11.3
PPP2R3C	14q13.2
PPP2R5A	1q32.3
PPP2R5B	11q13.1
PPP2R5C	14q32.31
PPP2R5CP	3p21.1
PPP2R5D	6p21.1
PPP2R5E	14q23.2
PPP3CA	4q24
PPP3CB	10q22.2
PPP3CB-AS1	10q22.2
PPP3CC	8p21.3
PPP3R1	2p14
PPP3R2	9q31.1
PPP4C	16p11.2
PPP4R1	18p11.22
PPP4R1-AS1	18p11.22
PPP4R1L	20q13.32
PPP4R2	3p13
PPP4R3A	14q32.12
PPP4R3B	2p16.1
PPP4R3C	Xp21.3
PPP4R4	14q32.2
PPP5	
PPP5C	19q13.32
PPP5D1	19q13.32
PPP6C	9q33.3
PPP6CP	Xq22.3
PPP6R1	19q13.42
PPP6R2	22q13.33
PPP6R2P1	21q11.2
PPP6R3	11q13
PPRC1	10q24.32
PPT	
PPT1	1p34.2
PPT2	6p21.32
PPT2-EGFL8	6p21.32
PPTC7	12q24.11
PPWD1	5q12.3
PPY	17q21.31
PPY2P	17q11.2
PQBP1	Xp11.23
PQBP2	reserved
PQBP3	reserved
PQBP4	reserved
PQBP5	reserved
PQLC1P1	7q21.13
PQLC1P2	4q21.22
PR@	12p13.2
PRAC1	17q21.32
PRAC2	17q21.32
PRADC1	2p13.2
PRADC1P1	3p22.2
PRAF2	Xp11.23
PRAG1	8p23.1
PRAL	17p13.1
PRAM1	19p13.2
PRAME	22q11.22
PRAMEF1	1p36.21
PRAMEF2	1p36.21
PRAMEF3	1p36.21 not on reference assembly
PRAMEF4	1p36.21
PRAMEF5	1p36.21
PRAMEF6	1p36.21
PRAMEF7	1p36.21
PRAMEF8	1p36.21
PRAMEF9	1p36.21
PRAMEF10	1p36.21
PRAMEF11	1p36.21
PRAMEF12	1p36.21
PRAMEF13	1p36.21
PRAMEF14	1p36.21
PRAMEF15	1p36.21
PRAMEF16	1p36.21
PRAMEF17	1p36.21
PRAMEF18	1p36.21
PRAMEF19	1p36.21
PRAMEF20	1p36.21
PRAMEF21	1p36.21
PRAMEF22	1p36.21 alternate reference locus
PRAMEF23	1p36.21
PRAMEF25	1p36.21
PRAMEF26	1p36.21
PRAMEF27	1p36.21
PRAMEF28P	1p36.21
PRAMEF29P	1p36.21
PRAMEF30P	1p36.21
PRAMEF31P	1p36.21
PRAMEF32P	1p36.21
PRAMEF33	1p36.21
PRAMEF34P	1p36.21
PRAMEF35P	1p36.21
PRAMEF36P	1p36.21
PRAMENP	22q11.22
PRANCR	12q15
PRAP1	10q26.3
PRB1	12p13.2
PRB2	12p13.2
PRB3	12p13.2
PRB4	12p13.2
PRC1	15q26.1
PRC1-AS1	15q26.1
PRCA1	reserved
PRCC	1q23.1
PRCD	17q25.1
PRCP	11q14
PRCPP1	2q11.2
PRD	Xp11.3
PRDM1	6q21
PRDM2	1p36.21
PRDM4	12q23.3
PRDM5	4q27
PRDM6	5q23.2
PRDM7	16q24.3
PRDM8	4q21.21
PRDM9	5p14.2
PRDM10	11q24.3
PRDM11	11p11.2
PRDM12	9q34.12
PRDM13	6q16.2
PRDM14	8q13.3
PRDM15	21q22.3
PRDM16	1p36.32
PRDM16-DT	1p36.32
PRDX1	1p34.1
PRDX1P1	9p23
PRDX2	19p13.13
PRDX2P1	13q12.3
PRDX2P2	10p11.21
PRDX2P3	5q35.3
PRDX2P4	6q16.3
PRDX3	10q26.11
PRDX3P1	22q13.1
PRDX3P2	1p35.3
PRDX3P3	13q13.3
PRDX3P4	3p14.1
PRDX4	Xp22.11
PRDX4P1	4p12
PRDX4P2	5p13.2
PRDX5	11q13.1
PRDX6	1q25.1
PRDX6-AS1	1q25.1
PREB	2p23.3
PRECSIT	13q34
PRELID1	5q35.3
PRELID1P1	6q22.32
PRELID1P2	6p22.2
PRELID1P3	10q21.3
PRELID1P4	15q14
PRELID1P5	1q32.2
PRELID1P6	2p15
PRELID1P7	1q23.3
PRELID2	5q32
PRELID2P1	12q15
PRELID3A	18p11.21
PRELID3B	20q13.32
PRELID3BP1	1q41
PRELID3BP2	13q14.3
PRELID3BP3	17q23.2
PRELID3BP4	5p12
PRELID3BP5	5p12
PRELID3BP6	5p12
PRELID3BP7	5p12
PRELID3BP8	5q23.1
PRELID3BP9	5q32
PRELID3BP10	7q31.33
PRELID3BP11	9p24.1
PRELP	1q32.1
PREP	6q21
PREPL	2p21
PREX1	20q13.13
PREX2	8q13.2
PRF1	10q22.1
PRG2	11q12.1
PRG3	11q12.1
PRG4	1q31.1
PRGS	
PRH1	12p13.2
PRH2	12p13.2
PRHX	
PRICKLE1	12q12
PRICKLE2	3p14.1
PRICKLE2-AS1	3p14.1
PRICKLE2-AS2	3p14.1
PRICKLE2-AS3	3p14.1
PRICKLE2-DT	3p14.1
PRICKLE3	Xp11.23
PRICKLE4	6p21.1
PRIM1	12q13.3
PRIM2	6p11.2
PRIM2B	
PRIMA1	14q32.12
PRIMPOL	4q35.1
PRINS	10p12.1
PRIP	
PRKA1	reserved
PRKA2	reserved
PRKAA	
PRKAA1	5p13.1
PRKAA2	1p32.2
PRKAB1	12q24.23
PRKAB2	1q21.1
PRKACA	19p13.12
PRKACB	1p31.1
PRKACG	9q21.11
PRKACN1	
PRKACN2	
PRKAG1	12q13.12
PRKAG2	7q36.1
PRKAG2-AS1	7q36.1
PRKAG3	2q35
PRKAR1A	17q24.2
PRKAR1AP1	1p22.1
PRKAR1B	7p22.3
PRKAR1B-AS1	7p22.3
PRKAR1B-AS2	7p22.3
PRKAR2A	3p21.31
PRKAR2A-AS1	3p21.31
PRKAR2B	7q22.3
PRKAR2B-AS1	7q22.3
PRKCA	17q24.2
PRKCA-AS1	17q24.2
PRKCB	16p12.2-p12.1
PRKCB2	
PRKCD	3p21.1
PRKCE	2p21
PRKCE-AS1	2p21
PRKCG	19q13.42
PRKCH	14q23.1
PRKCI	3q26.2
PRKCIP1	Xq22.1
PRKCNH1	
PRKCQ	10p15.1
PRKCQ-AS1	10p14
PRKCSH	19p13.2
PRKCZ	1p36.33
PRKCZ-AS1	1p36.33
PRKD1	14q12
PRKD2	19q13.32
PRKD3	2p22.2
PRKDC	8q11.21
